Specification,Section,Requirement,Priority,Status,Compliance,Implementation Location,Issues,Notes
rend-spec-v3.txt,8.2,RENDEZVOUS1,MUST,Implemented,COMPLETE,pkg/onion/onion.go,None,Request handling
rend-spec-v3.txt,8.3,RENDEZVOUS2,MUST,Implemented,COMPLETE,pkg/onion/onion.go,None,Response handling
rend-spec-v3.txt,9,Client Authorization,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
rend-spec-v3.txt,10,Service-Side,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Server not complete
control-spec.txt,2,Protocol Format,MUST,Implemented,COMPLETE,pkg/control/control.go,None,Basic format
control-spec.txt,3.1,SETCONF,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Basic commands only
control-spec.txt,3.2,GETCONF,SHOULD,Implemented,COMPLETE,pkg/control/control.go,None,Basic support
control-spec.txt,3.3,SETEVENTS,MUST,Implemented,COMPLETE,pkg/control/control.go,None,Event subscription
control-spec.txt,3.4,AUTHENTICATE,MUST,Implemented,COMPLETE,pkg/control/control.go,None,Cookie auth
control-spec.txt,3.5,SAVECONF,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Not needed
control-spec.txt,3.6,SIGNAL,SHOULD,Implemented,PARTIAL,pkg/control/control.go,Basic signals,Not all signals
control-spec.txt,3.7,MAPADDRESS,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,3.8,GETINFO,SHOULD,Implemented,PARTIAL,pkg/control/control.go,Basic info,Limited keys
control-spec.txt,3.9,EXTENDCIRCUIT,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,3.10,SETCIRCUITPURPOSE,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,3.11,ATTACHSTREAM,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,3.12,POSTDESCRIPTOR,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Not needed for client
control-spec.txt,3.13,REDIRECTSTREAM,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,3.14,CLOSESTREAM,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,3.15,CLOSECIRCUIT,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,4.1,CIRC Events,MUST,Implemented,COMPLETE,pkg/control/events.go,None,Circuit lifecycle
control-spec.txt,4.2,STREAM Events,MUST,Implemented,COMPLETE,pkg/control/events.go,None,Stream lifecycle
control-spec.txt,4.3,ORCONN Events,SHOULD,Implemented,COMPLETE,pkg/control/events.go,None,Connection status
control-spec.txt,4.4,BW Events,SHOULD,Implemented,COMPLETE,pkg/control/events.go,None,Bandwidth reporting
control-spec.txt,4.5,NEWDESC Events,SHOULD,Implemented,COMPLETE,pkg/control/events.go,None,Descriptor updates
control-spec.txt,4.6,ADDRMAP Events,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,4.7,DESCCHANGED Events,SHOULD,Not Implemented,MISSING,N/A,Not implemented,Feature gap
control-spec.txt,4.8,NS Events,SHOULD,Implemented,COMPLETE,pkg/control/events.go,None,Network status
control-spec.txt,4.9,GUARD Events,SHOULD,Implemented,COMPLETE,pkg/control/events.go,None,Guard lifecycle
address-spec.txt,1,.onion Addresses,MUST,Implemented,COMPLETE,pkg/onion/onion.go,None,v3 addresses
address-spec.txt,2,Special Addresses,MUST,Implemented,COMPLETE,pkg/socks/socks.go,None,.onion handling
padding-spec.txt,1,Circuit Padding,MUST,Not Implemented,MISSING,N/A,Not implemented,Critical security feature
padding-spec.txt,2,Negotiation,MUST,Not Implemented,MISSING,N/A,Not implemented,Not applicable without padding
padding-spec.txt,3,Machines,MUST,Not Implemented,MISSING,N/A,Not implemented,Not applicable without padding
prop224-spec.txt,1,Overview,N/A,Implemented,COMPLETE,pkg/onion/onion.go,None,v3 onion services
prop224-spec.txt,2,Encoding,MUST,Implemented,COMPLETE,pkg/onion/onion.go,None,Address encoding
prop224-spec.txt,3,Descriptor,MUST,Implemented,COMPLETE,pkg/onion/onion.go,None,Format implemented
